appId,user-size,user-mbr,locations-size,locations-mbr,locations-count,total-mbr
6031880176105552,343,254700,0,0,0,254700
4657615510348415,306,239900,157,158500,1,398400
8741238288105977,337,252300,0,0,0,252300
4029845138320276,342,254300,0,0,0,254300
5839630412438493,338,252700,151,156100,1,408800
6375805442609981,342,254300,0,0,0,254300
4658259748326854,339,253100,0,0,0,253100
2898653653444573,337,252300,0,0,0,252300
3129028892558311,308,240700,162,160500,1,401200
2784066217759313,308,240700,462,471900,3,712600
5370637621980900,313,242700,143,152900,1,395600
7419243091031627,315,243500,0,0,0,243500
2006098849603350,341,253900,155,157700,1,411600
3562747546997622,316,243900,0,0,0,243900
3875846956844731,308,240700,0,0,0,240700
983595571083503,333,250700,146,154100,1,404800
8612194075618465,335,251500,0,0,0,251500
6665906543129258,337,252300,0,0,0,252300
799323355528430,339,253100,0,0,0,253100
4747745185025225,312,242300,148,154900,1,397200
1967636539701915,303,238700,0,0,0,238700
7090689043515094,321,245900,0,0,0,245900
1922485868556766,305,239500,0,0,0,239500
3067905544189418,319,245100,300,311400,2,556500
3544814446778229,305,239500,164,161300,1,400800
5145145619555571,303,238700,0,0,0,238700
6123709924137838,335,251500,145,153700,1,405200
3481610378297864,330,249500,0,0,0,249500
2512945893656665,345,255500,0,0,0,255500
3189251898570088,305,239500,0,0,0,239500
4320734759617522,311,241900,168,162900,1,404800
361113878008522,326,247900,0,0,0,247900
8808702040520657,328,248700,0,0,0,248700
8288876672108155,297,236300,149,155300,1,391600
2310134518168093,336,251900,0,0,0,251900
1674913662970623,332,250300,146,154100,1,404400
5667748794154744,340,253500,0,0,0,253500
1875189621268473,331,249900,314,317000,2,566900
6384067943471475,310,241500,0,0,0,241500
3144377940397849,332,250300,0,0,0,250300
3401141656242433,311,241900,144,153300,1,395200
1735065693754798,352,258300,0,0,0,258300
3174265532122350,306,239900,0,0,0,239900
1545482834329633,312,242300,0,0,0,242300
483058363580837,314,243100,306,313800,2,556900
5261963047135324,328,248700,149,155300,1,404000
1623838791762512,338,252700,152,156500,1,409200
1229620554844637,354,259100,150,155700,1,414800
3377371321282004,307,240300,0,0,0,240300
8309553809194591,331,249900,145,153700,1,403600
8518320639186522,317,244300,147,154500,1,398800
6890814738253400,328,248700,0,0,0,248700
4224587232668605,332,250300,0,0,0,250300
5062150844180288,312,242300,147,154500,1,396800
8900804564716679,341,253900,300,311400,2,565300
6693433304008555,333,250700,0,0,0,250700
